delivery_datatype	check_status_sv	data_checked_by_sv	visit_year	platform_code	visit_id	expedition_id	station_name	reported_station_name	sample_project_name_sv	sample_orderer_name_sv	visit_date	sample_time	sample_enddate	sample_endtime	shark_sample_id	sample_latitude_dm	sample_longitude_dm	sample_latitude_dd	sample_longitude_dd	positioning_system_code	water_depth_m	wind_direction_code	wind_speed_ms	air_temperature_degc	air_temperature_wet_degc	air_pressure_hpa	weather_observation_code	cloud_observation_code	wave_observation_code	ice_observation_code	Secchi depth (m)	QFLAG Secchi depth	additional_sampling	visit_comment	sample_depth_m	Pressure CTD (dbar)	QFLAG Pressure CTD	Temperature bottle (C)	QFLAG Temperature bottle	Temperature CTD (C)	QFLAG Temperature CTD	Salinity bottle (o/oo psu)	QFLAG Salinity bottle	Salinity CTD (o/oo psu)	QFLAG Salinity CTD	Conductivity_25 bottle (mS/m)	QFLAG Conductivity_25 bottle	Conductivity CTD (mS/m)	QFLAG Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	QFLAG Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	QFLAG Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	QFLAG Hydrogen sulphide H2S	pH	QFLAG pH	pH Laboratory	QFLAG pH Laboratory	Temperature pH Laboratory (C)	QFLAG Temperature pH Laboratory	Alkalinity (mmol/kg)	QFLAG Alkalinity	Alkalinity_2 (mmol/l)	QFLAG Alkalinity_2	Phosphate PO4-P (umol/l)	QFLAG Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	QFLAG Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	QFLAG Nitrite NO2-N	Nitrate NO3-N (umol/l)	QFLAG Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	QFLAG Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	QFLAG Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	QFLAG Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	QFLAG Humus	Chlorophyll-a bottle (ug/l)	QFLAG Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	QFLAG Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	QFLAG Particulate organic carbon POC	Total organic carbon TOC (mg/l)	QFLAG Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	QFLAG Particulate organic nitrogen PON	Current direction (deca degrees)	QFLAG Current direction	Current velocity (cm/s)	QFLAG Current velocity	Lignin (mg/l)	QFLAG Lignin	Yellow substance (1/l)	QFLAG Yellow substance	Aluminium (ug/l)	QFLAG Aluminium	Urea (umol/l)	QFLAG Urea	Colored dissolved organic matter CDOM (1/m)	QFLAG Colored dissolved organic matter CDOM	sample_comment	location_water_category	location_water_district	location_svar_sea_area_name	location_svar_sea_area_code	location_type_area	location_sea_basin	location_helcom_ospar_area	location_economic_zone	location_county	location_municipality	station_viss_eu_id	reporting_institute_name_sv	data_holding_centre	internet_access	dataset_name	dataset_file_name
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+0+0	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	0					6.00				27.37						7.14		7.2				8.15		7.937		25.0		2.191				0.21		0.81		0.07		1.48		1.55		0.20	<	14.7		1.0		4.5		5.1																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+5+5	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	5			6.46		6.20				28.16						6.98		7.0				8.15		7.934		24.9		2.223				0.26		0.83		0.10		2.14		2.24			B	14.3		1.5		4.2		6.1																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+10+10	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	10					6.64				30.41						6.81		6.8										2.265				0.31		0.86		0.14		2.58		2.72		0.20	<	13.4		1.8		4.0		5.1																								10  : PH.FORLORAT	4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+15+15	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	15			6.59		6.58				30.57						6.89		6.9				8.15		7.944		25.0		2.255				0.29		0.82		0.13		2.37		2.50		0.20	<	13.4		1.5		3.9		5.0																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+20+20	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	20					6.76				31.00						6.69		6.7				8.13		7.921		25.1		2.275				0.36		0.89		0.14		2.88		3.02		0.20	<	13.8		2.3		3.4		4.3																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+25+25	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	25			7.98		7.94				32.46						5.68		5.7				8.07		7.875		25.0		2.289				0.64		1.01		0.24		6.47		6.71		0.20	<	14.7		6.7		3.0		1.2																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+30+30	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	30					8.23				32.98						5.48		5.4				8.06		7.865		25.1		2.305				0.70		1.06		0.18		7.39		7.57		0.20	<	15.3		8.1		3.0		0.9																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+40+40	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	40			8.32		8.34				33.20						5.36		5.2				8.05		7.858		25.0		2.298				0.73		1.07		0.21		7.68		7.89		0.20	<	15.6		8.9		2.9		0.7																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+50+50	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	50					8.47				33.60						5.03		5.0				8.03		7.837		25.2		2.306				0.85		1.17		0.18		8.71		8.89		0.20	<	17.3		10.9		2.8																											4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2016	34AR	0621		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2016-12-12	01:00			SHARK-HYD+2016+34AR+0621+61+61	56 40.12	12 06.66	56.66867	12.11100		62	6	11	2.9		1017	9	9	9	0				DROPVIDEO FÖR NATURTYPSBESTÄMNING. ZOOPLANKTON FÖR UMEÅ.	61				B			34.119								4.45								7.787		25.1		2.316				1.06		1.44		0.18		10.68		10.86		0.20	<	20.8		14.8		3.0																											4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2016_BAS_SMHI	SHARK_PhysicalChemical_2016_BAS_SMHI_version_2018-05-21.zip
