delivery_datatype	check_status_sv	data_checked_by_sv	visit_year	platform_code	visit_id	expedition_id	station_name	reported_station_name	sample_project_name_sv	sample_orderer_name_sv	visit_date	sample_time	sample_enddate	sample_endtime	shark_sample_id	sample_latitude_dm	sample_longitude_dm	sample_latitude_dd	sample_longitude_dd	positioning_system_code	water_depth_m	wind_direction_code	wind_speed_ms	air_temperature_degc	air_temperature_wet_degc	air_pressure_hpa	weather_observation_code	cloud_observation_code	wave_observation_code	ice_observation_code	Secchi depth (m)	QFLAG Secchi depth	additional_sampling	visit_comment	sample_depth_m	Pressure CTD (dbar)	QFLAG Pressure CTD	Temperature bottle (C)	QFLAG Temperature bottle	Temperature CTD (C)	QFLAG Temperature CTD	Salinity bottle (o/oo psu)	QFLAG Salinity bottle	Salinity CTD (o/oo psu)	QFLAG Salinity CTD	Conductivity_25 bottle (mS/m)	QFLAG Conductivity_25 bottle	Conductivity CTD (mS/m)	QFLAG Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	QFLAG Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	QFLAG Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	QFLAG Hydrogen sulphide H2S	pH	QFLAG pH	pH Laboratory	QFLAG pH Laboratory	Temperature pH Laboratory (C)	QFLAG Temperature pH Laboratory	Alkalinity (mmol/kg)	QFLAG Alkalinity	Alkalinity_2 (mmol/l)	QFLAG Alkalinity_2	Phosphate PO4-P (umol/l)	QFLAG Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	QFLAG Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	QFLAG Nitrite NO2-N	Nitrate NO3-N (umol/l)	QFLAG Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	QFLAG Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	QFLAG Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	QFLAG Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	QFLAG Humus	Chlorophyll-a bottle (ug/l)	QFLAG Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	QFLAG Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	QFLAG Particulate organic carbon POC	Total organic carbon TOC (mg/l)	QFLAG Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	QFLAG Particulate organic nitrogen PON	Current direction (deca degrees)	QFLAG Current direction	Current velocity (cm/s)	QFLAG Current velocity	Lignin (mg/l)	QFLAG Lignin	Yellow substance (1/l)	QFLAG Yellow substance	Aluminium (ug/l)	QFLAG Aluminium	Urea (umol/l)	QFLAG Urea	Colored dissolved organic matter CDOM (1/m)	QFLAG Colored dissolved organic matter CDOM	sample_comment	location_water_category	location_water_district	location_svar_sea_area_name	location_svar_sea_area_code	location_type_area	location_sea_basin	location_helcom_ospar_area	location_economic_zone	location_county	location_municipality	station_viss_eu_id	reporting_institute_name_sv	data_holding_centre	internet_access	dataset_name	dataset_file_name
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+0+0	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	0			5.89		5.86				26.80						7.06																0.39		0.98		0.24		3.58		3.82		0.81		16.4		5.8				1.8				20.0																						Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+2+2	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	2			5.92		5.96				26.89						7.10																0.39		0.90		0.24		3.54		3.78		0.81		16.1		5.8				1.4																										Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+5+5	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	5			6.19		6.09				27.07						6.94																0.40		0.81		0.24		3.55		3.79		0.80		15.1		5.8				1.0				12.1																						Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+10+10	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	10			6.61		6.51				28.05						6.82																0.44		0.87		0.28		3.92		4.20		0.88		15.0		6.4				0.5																										Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+15+15	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	15			7.59		7.39				29.65						6.40																0.49		0.84		0.30		4.25		4.55		0.79		14.2		6.5				0.3																										Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+20+20	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	20			8.19		8.67				31.50						6.13																0.50		0.91		0.27		3.99		4.26		0.34		12.3		5.8				0.2				7.6																						Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+30+30	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	30			9.04		9.03				32.48						6.00																0.52		0.98		0.31		3.61		3.92		0.39		12.0		5.8				0.3																										Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+40+40	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	40			9.14		9.13				33.06						5.92																0.52		0.90		0.35		3.31		3.66		0.53		11.0		5.8																														Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0165		STRETUDDEN	STRETUDDEN	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-06	08:25			SHARK-HYD+2017+77SN+0165+45+45	58 20.60	11 24.20	58.34333	11.40333		46	09	3	7		1004	5	8	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	45			9.15			B			33.34						5.83																0.58		1.04		0.34		3.30		3.64		0.96		12.2		6.5																														Västerhavets vattendistrikt	Yttre Brofjorden	582000-112350	01n - Västkustens inre kustvatten		OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0161		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-12-05	14:10			SHARK-HYD+2017+77SN+0161+0+0	58 18.75	11 46.40	58.31250	11.77333		40	27	14	8		1003	2	7	2	0				SLANG 0-10M OCH 10-20M. HÅV 0-20M.	0			5.60		5.54				24.07						6.97																0.49		0.93		0.22		7.16		7.38		0.93		21.3		18.6				0.7				10.2																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
